緯度,経度,施設名,ふりがな,住所,,区,電話番号　,施設情報,施設種別,0歳児,1歳児,2歳児,3歳児,4歳児,5歳児,月,指定園,新制度未移行園,ソート,月
34.701176,135.50514,きたの旭ヶ丘学園,きたのあさひがおかがくえん,北区兎我野町3-10,1,北区,06-6361-8344,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/01kitanoasahigaokagakuen.pdf,保育所,0,0,0,0,0,0,3,,,13301,5
34.710307,135.499789,大阪主婦之会保育園,おおさかしゅふのかいほいくえん,北区豊崎3-1-12,1,北区,06-6372-8028,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/02osakasyufunokaihoikuen.pdf,保育所,0,0,0,0,0,0,3,,,13302,5
34.702975,135.482162,大阪市立大淀保育所,おおさかしりつおおよどほいくしょ,北区大淀中4-9-11,1,北区,06-6458-6200,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/01ooyodo.pdf,保育所,0,0,0,0,0,0,3,,,13101,5
34.702803,135.482157,大阪市立大淀保育所　(夜間）,おおさかしりつおおよどほいくしょやかん,北区大淀中4-9-11,1,北区,06-6458-6200,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/01ooyodo.pdf,保育所,0,0,0,0,0,0,3,,,13102,5
34.710794,135.515451,鶴満寺保育所,かくまんじほいくしょ,北区長柄中1-1-23,1,北区,06-6353-8618,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/04kakumannjihoikusho.pdf,保育所,0,0,0,0,0,0,3,,,13303,5
34.71422,135.498156,中津保育園,なかつほいくえん,北区中津2-7-8-101,1,北区,06-6373-0979,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/05nakatsuhoikuen.pdf,保育所,0,0,0,0,0,0,3,,,13304,5
34.7174,135.517999,長柄保育園,ながらほいくえん,北区長柄東3-2-3,1,北区,06-6357-1358,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/06nagarahoikuen.pdf,保育所,0,0,0,0,0,0,3,,,13306,5
34.701013,135.515542,同心保育園,どうしんほいくえん,北区同心1-5-27,1,北区,06-6881-0651,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/07doushinhoikuen.pdf,保育所,0,0,0,0,0,0,3,,,13307,5
34.711262,135.506852,音色つばさ保育園,ねいろつばさほいくえん,北区本庄東1-24-9,1,北区,06-6373-0283,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/08neirotsubasahoikuen.pdf,保育所,0,0,0,0,0,0,3,,,13308,5
34.717073,135.504084,さつき保育園,さつきほいくえん,北区本庄西3-13-5,1,北区,06-6374-2537 ,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/09satsukihoikuen.pdf,保育所,0,0,0,0,0,0,3,,,13309,5
34.694675,135.510239,中之島ちどり保育園,なかのしまちどりほいくえん,北区天神西町3-16,1,北区,06-6362-3755,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/10nakanoshimachidori.pdf,保育所,0,0,0,0,0,0,3,,,13310,5
34.704836,135.483801,クオリスキッズ北梅田保育園,くおりすきっずきたうめだほいくえん,北区大淀中3-9-22,1,北区,06-6345-5350,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/11kuorisukidskitaumedahoikuen.pdf,保育所,0,0,0,0,0,0,3,,,13311,5
34.699732,135.517902,ちゃいれっく東天満保育園,ちゃいれっくひがしてんまほいくえん,北区同心1-1-26 インポートロッサ第四ビル,1,北区,06-6360-9681,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/10reicyakuhigasitenmahoikuen.pdf,保育所,0,0,0,0,0,0,3,,,13312,5
34.704091,135.487754,マミーズアイ保育園おおさかきた園,まみーずあいほいくえんおおさかきたえん,北区大淀中1-11-9,1,北区,06-6453-4150,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/13mamyzuaiosakakita.pdf,保育所,0,0,0,0,0,0,3,,,13313,5
34.715918,135.513917,ポポラー大阪長柄園,ぽぽらーおおさかながらえん,北区長柄中３－３－６,1,北区,06-4800-7050,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/14poporaosakanagara.pdf,保育所,0,0,0,0,0,0,3,,,13314,5
34.713621,135.498682,中津保育園（分園）,なかつほいくえんぶんえん,北区豊崎7－2－2,1,北区,06-6373-0979,,保育所,-,-,,,,,3,,,13305,5
34.694004,135.513568,蓮美幼児学園てんまんぐうナーサリー(分園）,れんびようじがくえんてんまんぐうなーさりー　ぶんえん,北区天満４－９－９　renbi第１ビル１・２階,1,北区,06-6352-4152,,保育所,0,0,0,,,,3,,,13315,5
34.709599,135.505199,レイモンド梅田北保育園(分園）,れいもんどうめだきたほいくえんぶんえん,北区中崎３丁目４－２２　グレンパーク梅田北１階,1,北区,06-6459-7631,,保育所,0,0,0,,,,3,,,13316,5
34.701738,135.479887,（仮称）マザーシップ大淀南保育園（平成28年5月1日開設）,まざーしっぷおおよどみなみほいくえん,北区大淀南3-12-12,1,北区,06-6263-0270,,保育所,0,0,0,0,0,0,3,,,13317,5
34.694721,135.51021,（仮称）認定こども園　中之島ちどり保育園（平成28年４月１日開設）,にんていこどもえんなかのしまちどりほいくえん,北区天神西町3-16,1,北区,06-6362-3755,,認定こども園,0,0,0,0,0,0,3,,,12301,5
34.716632,135.516261,さくらんぼルーム,さくらんぼるーむ,北区長柄東３－２－１－１０３,1,北区,06-6354-6420,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000319/319681/c01sakuranboru-mu.pdf,地域型,0,0,0,,,,3,,,14301,5
