緯度,経度,施設名,ふりがな,住所,,区,電話番号　,施設情報,施設種別,0歳児,1歳児,2歳児,3歳児,4歳児,5歳児,月,指定園,新制度未移行園,ソート
34.693793,135.509984,大阪市立菅南幼稚園,おおさかしりつかんなんようちえん,北区菅原町１１-２,1,北区,06-6361-6005,http://www.ocec.ne.jp/yochien/kindergarden/kan-nan/index.html,幼稚園,,,,,,,,,,11101
34.696208,135.518755,大阪市立滝川幼稚園,おおさかしりつたきがわようちえん,北区天満１-２４-１５,1,北区,06-6351-4565,http://www.ocec.ne.jp/yochien/kindergarden/takigawa/index.html,幼稚園,,,,,,,,,,11102
34.697674,135.512868,大阪市立堀川幼稚園,おおさかしりつほりかわようちえん,北区東天満２-１０-７,1,北区,06-6351-2222,http://www.ocec.ne.jp/yochien/kindergarden/horikawa/index.html,幼稚園,,,,,,,,,,11103
34.703663,135.481961,大阪市立中大淀幼稚園,おおさかしりつなかおおよどようちえん,北区大淀中４-１０-２１,1,北区,06-6458-9300,http://www.ocec.ne.jp/yochien/kindergarden/nakaoyodo/index.html,幼稚園,,,,,,,,,,11104
34.695135,135.527744,大阪市立桜宮幼稚園,おおさかしりつさくらのみやようちえん,都島区東野田町１-２-５,2,都島区,06-6351-0190,http://www.ocec.ne.jp/yochien/kindergarden/sakuranomiya/index.html,幼稚園,,,,,,,,,,21105
34.690983,135.472788,大阪市立西野田幼稚園,おおさかしりつにしのだようちえん,福島区吉野３-１７-５,3,福島区,06-6461-1421,http://www.ocec.ne.jp/yochien/kindergarden/n-noda/index.html,幼稚園,,,,,,,,,,31106
34.698922,135.478699,大阪市立貫江田幼稚園,おおさかしりつぬきえだようちえん,福島区鷺州５-６-１８,3,福島区,06-6451-6898,http://www.ocec.ne.jp/yochien/kindergarden/nukieda/index.html,幼稚園,,,,,,,,,,31107
34.697912,135.469982,大阪市立海老江西幼稚園,おおさかしりつえびえいにしようちえん,福島区海老江８-１-２８,3,福島区,06-6451-1504,http://www.ocec.ne.jp/yochien/kindergarden/ebienishi/index.html,幼稚園,,,,,,,,,,31108
34.688482,135.451606,大阪市立伝法幼稚園,おおさかしりつでんぽうようちえん,此花区伝法４-４-３５,4,此花区,06-6461-0480,http://www.ocec.ne.jp/yochien/kindergarden/denpou/index.html,幼稚園,,,,,,,,,,41109
34.691204,135.502818,大阪市立愛珠幼稚園,おおさかしりつあいしゅようちえん,中央区今橋３-１-１１,5,中央区,06-6231-0481,http://www.ocec.ne.jp/yochien/kindergarden/aisyu/index.html,幼稚園,,,,,,,,,,51110
34.677792,135.518361,大阪市立銅座幼稚園,おおさかしりつどうざようちえん,中央区内久宝寺町１-１-４,5,中央区,06-6762-1172,http://www.ocec.ne.jp/yochien/kindergarden/douza/index.html,幼稚園,,,,,,,,,,51111
34.675833,135.530654,大阪市立玉造幼稚園,おおさかしりつたまつくりようちえん,中央区玉造１-９-１０,5,中央区,06-6761-6120,http://www.ocec.ne.jp/yochien/kindergarden/tamatukuri/index.html,幼稚園,,,,,,,,,,51112
34.684856,135.512128,大阪市立中大江幼稚園,おおさかしりつなかおおえようちえん,中央区南新町２-４-８,5,中央区,06-6941-5903,http://www.ocec.ne.jp/yochien/kindergarden/nakaooe/index.html,幼稚園,,,,,,,,,,51113
34.674831,135.516119,大阪市立桃園幼稚園,おおさかしりつとうえんようちえん,中央区谷町６-５-３４,5,中央区,06-6761-4908,http://www.ocec.ne.jp/yochien/kindergarden/touen/index.html,幼稚園,,,,,,,,,,51114
34.677101,135.502445,大阪市立南幼稚園,おおさかしりつみなみようちえん,中央区南船場３-２-１９,5,中央区,06-6251-2907,http://www.ocec.ne.jp/yochien/kindergarden/minami/index.html,幼稚園,,,,,,,,,,51115
34.675919,135.471782,大阪市立九条幼稚園,おおさかしりつくじょうようちえん,西区九条２-１９-１８,6,西区,06-6581-6185,http://www.ocec.ne.jp/yochien/kindergarden/kujo/index.html,幼稚園,,,,,,,,,,61116
34.683972,135.493974,大阪市立靱幼稚園,おおさかしりつうつぼようちえん,西区靱本町１-１９-１３,6,西区,06-6441-0644,http://www.ocec.ne.jp/yochien/kindergarden/utsubo/index.html,幼稚園,,,,,,,,,,61117
34.670514,135.482714,大阪市立日吉幼稚園,おおさかしりつひよしようちえん,西区南堀江４-８-２４,6,西区,06-6531-1409,http://www.ocec.ne.jp/yochien/kindergarden/hiyoshi/index.html,幼稚園,,,,,,,,,,61118
34.688626,135.494181,大阪市立西船場幼稚園,おおさかしりつにしせんばようちえん,西区江戸堀１-２１-３４,6,西区,06-6441-7101,http://www.ocec.ne.jp/yochien/kindergarden/n-senba/index.html,幼稚園,,,,,,,,,,61119
34.674981,135.489736,大阪市立堀江幼稚園,おおさかしりつほりえようちえん,西区北堀江３-２-３１,6,西区,06-6541-3800,http://www.ocec.ne.jp/yochien/kindergarden/horie/index.html,幼稚園,,,,,,,,,,61120
34.660309,135.455544,大阪市立三先幼稚園,おおさかしりつみさきようちえん,港区三先１-６-３７,7,港区,06-6572-7089,http://www.ocec.ne.jp/yochien/kindergarden/misaki/index.html,幼稚園,,,,,,,,,,71121
34.664512,135.476511,大阪市立三軒家西幼稚園,おおさかしりつさんげんやにしようちえん,大正区三軒家西１-２３-２３,8,大正区,06-6551-1749,http://www.ocec.ne.jp/yochien/kindergarden/sangenya-n/index.htm,幼稚園,,,,,,,,,,81122
34.649057,135.470036,大阪市立泉尾幼稚園,おおさかしりついずおようちえん,大正区千島３-１６-２,8,大正区,06-6551-0052,http://www.ocec.ne.jp/yochien/kindergarden/izuo/index.html,幼稚園,,,,,,,,,,81123
34.661326,135.521832,大阪市立五条幼稚園,おおさかしりつごじょうようちえん,天王寺区上之宮町４-４,9,天王寺区,06-6771-1820,http://www.ocec.ne.jp/yochien/kindergarden/gojo/index.html,幼稚園,,,,,,,,,,91124
34.670433,135.527065,大阪市立真田山幼稚園,おおさかしりつさなだやまようちえん,天王寺区餌差町６-１３,9,天王寺区,06-6761-3004,http://www.ocec.ne.jp/yochien/kindergarden/sanadayama/index.html,幼稚園,,,,,,,,,,91125
34.668965,135.526938,大阪市立味原幼稚園,おおさかしりつあじはらようちえん,天王寺区味原町５-１８,9,天王寺区,06-6762-0503,http://www.ocec.ne.jp/yochien/kindergarden/ajihara/index.html,幼稚園,,,,,,,,,,91126
34.656329,135.515279,大阪市立大江幼稚園,おおさかしりつおおえようちえん,天王寺区四天王寺１-１１-１０８,9,天王寺区,06-6771-4988,http://www.ocec.ne.jp/yochien/kindergarden/ooe/index.html,幼稚園,,,,,,,,,,91127
34.665659,135.513584,大阪市立生魂幼稚園,おおさかしりついくたまようちえん,天王寺区生玉町７-４,9,天王寺区,06-6771-9988,http://www.ocec.ne.jp/yochien/kindergarden/ikutama/index.html,幼稚園,,,,,,,,,,91128
34.658046,135.507908,大阪市立日東幼稚園,おおさかしりつにっとうようちえん,浪速区日本橋東３-２-９,10,浪速区,06-6641-0214,http://www.ocec.ne.jp/yochien/kindergarden/nitto/index.html,幼稚園,,,,,,,,,,101129
34.667084,135.484613,大阪市立立葉幼稚園,おおさかしりつたてばようちえん,浪速区桜川４-８-２１,10,浪速区,06-6561-7397,http://www.ocec.ne.jp/yochien/kindergarden/tateba/index.html,幼稚園,,,,,,,,,,101130
34.702426,135.456158,大阪市立姫島幼稚園,おおさかしりつひめじまようちえん,西淀川区姫島１-１３-７,11,西淀川区,06-6471-1010,http://www.ocec.ne.jp/yochien/kindergarden/himejima/index.html,幼稚園,,,,,,,,,,111132
34.715124,135.461911,大阪市立野里幼稚園,おおさかしりつのざとようちえん,西淀川区歌島２-５-２５,11,西淀川区,06-6471-1360,http://www.ocec.ne.jp/yochien/kindergarden/nozato/index.html,幼稚園,,,,,,,,,,111133
34.706689,135.444718,大阪市立大和田幼稚園,おおさかしりつおおわだようちえん,西淀川区大和田４-３-３５,11,西淀川区,06-6471-4203,http://www.ocec.ne.jp/yochien/kindergarden/oowada/index.html,幼稚園,,,,,,,,,,111134
34.729661,135.495053,大阪市立西中島幼稚園,おおさかしりつにしなかじまようちえん,淀川区西中島７-１４-４１,12,淀川区,06-6301-4772,http://www.ocec.ne.jp/yochien/kindergarden/n-nakajima/index.html,幼稚園,,,,,,,,,,121135
34.721302,135.473565,大阪市立田川幼稚園,おおさかしりつたがわようちえん,淀川区田川２-２-２６,12,淀川区,06-6301-1809,http://www.ocec.ne.jp/yochien/kindergarden/tagawa/index.html,幼稚園,,,,,,,,,,121136
34.732247,135.480107,大阪市立新高幼稚園,おおさかしりつにいたかようちえん,淀川区新高１-１５-６７,12,淀川区,06-6391-0404,http://www.ocec.ne.jp/yochien/kindergarden/niitaka/index.html,幼稚園,,,,,,,,,,121137
34.671763,135.543759,大阪市立今里幼稚園,おおさかしりついまざとようちえん,東成区大今里１-３７-７,14,東成区,06-6971-8317,http://www.ocec.ne.jp/yochien/kindergarden/imazato/index.html,幼稚園,,,,,,,,,,141138
34.676744,135.538947,大阪市立中本幼稚園,おおさかしりつなかもとようちえん,東成区中本４-２-４１,14,東成区,06-6971-8897,http://www.ocec.ne.jp/yochien/kindergarden/nakamoto/index.html,幼稚園,,,,,,,,,,141139
34.669696,135.533341,大阪市立東小橋幼稚園,おおさかしりつひがしおばせようちえん,東成区東小橋２-６-２,14,東成区,06-6971-8342,http://www.ocec.ne.jp/yochien/kindergarden/h-obase/index.html,幼稚園,,,,,,,,,,141140
34.680692,135.538075,大阪市立北中道幼稚園,おおさかしりつきたなかみちようちえん,東成区中道２-２-１９,14,東成区,06-6972-1956,http://www.ocec.ne.jp/yochien/kindergarden/k-nakamiti/index.htm,幼稚園,,,,,,,,,,141141
34.678516,135.545151,大阪市立東中本幼稚園,おおさかしりつひがしなかもとようちえん,東成区東中本２-９-３,14,東成区,06-6976-4466,http://www.ocec.ne.jp/yochien/kindergarden/h-nakamoto/index.html,幼稚園,,,,,,,,,,141142
34.659563,135.532748,大阪市立鶴橋幼稚園,おおさかしりつつるはしようちえん,生野区桃谷２-２０-１４,15,生野区,06-6731-6401,http://www.ocec.ne.jp/yochien/kindergarden/tsuruhashi/index.html,幼稚園,,,,,,,,,,151143
34.718941,135.564482,大阪市立旭東幼稚園,おおさかしりつきょくとうようちえん,旭区新森７-５-５,16,旭区,06-6953-3802,http://www.ocec.ne.jp/yochien/kindergarden/kyokutou/index.html,幼稚園,,,,,,,,,,161144
34.701268,135.547761,大阪市立鯰江幼稚園,おおさかしりつなまずえようちえん,城東区今福西３-７-１７,17,城東区,06-6931-2970,http://www.ocec.ne.jp/yochien/kindergarden/namazue/index.html,幼稚園,,,,,,,,,,171145
34.690476,135.547334,大阪市立城東幼稚園,おおさかしりつじょうとうようちえん,城東区鴫野東３-１３-６,17,城東区,06-6961-4664,http://www.ocec.ne.jp/yochien/kindergarden/joto/index.html,幼稚園,,,,,,,,,,171146
34.695687,135.568943,大阪市立榎本幼稚園,おおさかしりつえのもとようちえん,鶴見区今津北１-５-３５,18,鶴見区,06-6961-0751,http://www.ocec.ne.jp/yochien/kindergarden/enomoto/index.html,幼稚園,,,,,,,,,,181147
34.641417,135.516393,大阪市立常盤幼稚園,おおさかしりつときわようちえん,阿倍野区松崎町３-１１-３５,19,阿倍野区,06-6621-4413,http://www.ocec.ne.jp/yochien/kindergarden/tokiwa/index.html,幼稚園,,,,,,,,,,191148
34.619835,135.489846,大阪市立粉浜幼稚園,おおさかしりつこはまようちえん,住之江区粉浜１-２１-１１,20,住之江区,06-6671-4414,http://www.ocec.ne.jp/yochien/kindergarden/kohama/index.html,幼稚園,,,,,,,,,,201149
34.616981,135.496726,大阪市立住吉幼稚園,おおさかしりつすみよしようちえん,住吉区帝塚山西４-２-３７,21,住吉区,06-6671-4459,http://www.ocec.ne.jp/yochien/kindergarden/sumiyosi/index.html,幼稚園,,,,,,,,,,211150
34.607756,135.496029,大阪市立墨江幼稚園,おおさかしりつすみえようちえん,住吉区墨江２-３-１７,21,住吉区,06-6671-6516,http://www.ocec.ne.jp/yochien/kindergarden/sumie/index.html,幼稚園,,,,,,,,,,211151
34.607286,135.570825,大阪市立長吉幼稚園,おおさかしりつながよしようちえん,平野区長吉長原１-１０-３,23,平野区,06-6709-1000,http://www.ocec.ne.jp/yochien/kindergarden/nagayoshi/index.html,幼稚園,,,,,,,,,,231152
34.601919,135.552557,大阪市立瓜破幼稚園,おおさかしりつうりわりようちえん,平野区瓜破５-３-３４,23,平野区,06-6709-2300,http://www.ocec.ne.jp/yochien/kindergarden/uriwari/index.html,幼稚園,,,,,,,,,,231153
34.601713,135.578735,大阪市立長吉第二幼稚園,おおさかしりつながよしだいにようちえん,平野区長吉長原東３-１２-４７,23,平野区,06-6709-8781,http://www.ocec.ne.jp/yochien/kindergarden/nagayoshi2/index.html,幼稚園,,,,,,,,,,231154
34.604685,135.551331,大阪市立瓜破北幼稚園,おおさかしりつうりわりきたようちえん,平野区瓜破１-９-１２,23,平野区,06-6708-3027,http://www.ocec.ne.jp/yochien/kindergarden/uriwarikita/index.html,幼稚園,,,,,,,,,,231155
34.605996,135.586368,大阪市立六反幼稚園,おおさかしりつろくたんようちえん,平野区長吉六反５-３-３２,23,平野区,06-6707-0800,http://www.ocec.ne.jp/yochien/kindergarden/rokutan/index.html,幼稚園,,,,,,,,,,231156
34.640043,135.558583,大阪市立加美北幼稚園,おおさかしりつかみきたようちえん,平野区加美北４-１-１４,23,平野区,06-6793-1763,http://www.ocec.ne.jp/yochien/kindergarden/kamikita/index.html,幼稚園,,,,,,,,,,231157
34.624276,135.492344,大阪市立玉出幼稚園,おおさかしりつたまでようちえん,西成区玉出中２-１３-２９,24,西成区,06-6661-4446,http://www.ocec.ne.jp/yochien/kindergarden/tamade/index.html,幼稚園,,,,,,,,,,241158
34.637778,135.501554,大阪市立天下茶屋幼稚園,おおさかしりつてんがちゃやようちえん,西成区聖天下１-１０-３４,24,西成区,06-6661-5641,http://www.ocec.ne.jp/yochien/kindergarden/tengatyaya/index.html,幼稚園,,,,,,,,,,241159
34.714507,135.530833,高倉幼稚園,たかくらようちえん,都島区高倉町1丁目13-22,2,都島区,06-6921-1780,http://www.takakura-yochien.net/index.html,幼稚園,,,,,,,,,1,21306
34.723864,135.527561,淀川幼稚園,よどがわようちえん,都島区大東町2丁目5-28,2,都島区,06-6922-1214,http://www.yodgaw.org/index.html,幼稚園,,,,,,,,,1,21308
34.701286,135.532413,育生幼稚園,いくせいようちえん,都島区都島南通2丁目2-15,2,都島区,06-6929-0606,http://ikusei-youchien.ed.jp/index.html,幼稚園,,,,,,,,1,1,21305
34.704841,135.523396,都島中野幼稚園,みやこじまなかのようちえん,都島区中野町4丁目20-45,2,都島区,06-6351-4735,http://www.astok.ne.jp/daishiyo/miyakojima/index.html,幼稚園,,,,,,,,,1,21307
34.688809,135.482516,下福島幼稚園,しもふくしまようちえん,福島区玉川1丁目4-5,3,福島区,06-6447-1120,http://www.astok.ne.jp/daishiyo/shimofukushima/index.html,幼稚園,,,,,,,,,1,31311
34.694044,135.470889,大開幼稚園,おおひらきようちえん,福島区大開1丁目18-15,3,福島区,06-6461-2842,http://www.oohiraki.jp/index.html,幼稚園,,,,,,,,,1,31310
34.700029,135.485008,愛輝幼稚園,あいきようちえん,福島区福島7丁目19-16,3,福島区,06-6451-0320,http://homepage2.nifty.com/aikiyochien/index.html,幼稚園,,,,,,,,,1,31309
34.695153,135.486974,福島幼稚園,ふくしまようちえん,福島区福島2丁目8-1,3,福島区,06-6451-5907,http://www.tenmangu.com/baifuugakuen/info.html,幼稚園,,,,,,,,,1,31312
34.684117,135.464132,朝日橋幼稚園,あさひばしようちえん,此花区西九条5丁目4-40,4,此花区,06-6461-0877,http://asahibashi.info/index.html,幼稚園,,,,,,,,,1,41313
34.682033,135.449109,春日出幼稚園,かすがでようちえん,此花区春日出北2丁目8-24,4,此花区,06-6461-0077,http://kasugade.info/index.html,幼稚園,,,,,,,,,1,41314
34.681422,135.478501,川口聖マリア幼稚園,かわぐちせいまりあようちえん,西区川口3丁目5-31,6,西区,06-6581-6078,http://www.maria-youchien.ac.jp/index.html,幼稚園,,,,,,,,1,1,61318
34.672352,135.473667,福音幼稚園,ふくいんようちえん,西区九条南2丁目13-8,6,西区,06-6584-2469,http://fukuinyouchien.com/index.html,幼稚園,,,,,,,,,1,61319
34.668256,135.468759,文化幼稚園,ぶんかようちえん,港区市岡元町2丁目1-28,7,港区,06-6582-1340,http://www.bunka.ed.jp/index.html,幼稚園,,,,,,,,,1,71320
34.663557,135.463239,みなと幼稚園,みなとようちえん,港区市岡1丁目3-29,7,港区,06-6571-0395,http://www.minato-youchien.ac.jp/index.html,幼稚園,,,,,,,,,1,71321
34.638988,135.470926,南恩加島幼稚園,みなみおかじまようちえん,大正区平尾5丁目7-7,8,大正区,06-6551-2408,http://minamiokajima.la.coocan.jp/index.html,幼稚園,,,,,,,,1,1,81325
34.634408,135.472916,昭光幼稚園,しようこうようちえん,大正区南恩加島1丁目12-39,8,大正区,06-6551-5619,http://www.shoko.ed.jp/index.html,幼稚園,,,,,,,,,1,81323
34.653668,135.468432,北恩加島幼稚園,きたおかじまようちえん,大正区泉尾5丁目17-31,8,大正区,06-6551-2856,http://www.kitaokajimagakuen.ed.jp/index.html,幼稚園,,,,,,,,,1,81322
34.649935,135.518728,天王寺幼稚園,てんのうじようちえん,天王寺区北河堀町1-13,9,天王寺区,06-6771-0877,http://www.osaka.zaq.jp/yoshimigakuen/index.html,幼稚園,,,,,,,,,1,91326
34.666065,135.511521,パドマ幼稚園,ぱどまようちえん,天王寺区下寺町1丁目1-30,9,天王寺区,06-6772-1721,http://www.padoma.ne.jp/modules/contents/index.php?content_id=27,幼稚園,,,,,,,,,1,91327
34.660415,135.524278,大阪芸術大学附属松ヶ鼻幼稚園,おおさかげいじゅつだいがくふぞくまつがはなようちえん,天王寺区松ヶ鼻町4-4,9,天王寺区,06-6771-0076,http://www.kids.osaka-geidai.ac.jp/m/index.html,幼稚園,,,,,,,,,1,91329
34.661368,135.503762,日本橋幼稚園,にほんばしようちえん,浪速区難波中2丁目7-5,10,浪速区,06-6641-6401,http://www.ans.co.jp/k/nipponbashi/index.html,幼稚園,,,,,,,,,1,101330
34.718645,135.455235,御幣島幼稚園,みてじまようちえん,西淀川区御幣島4丁目15-23,11,西淀川区,06-6471-0173,http://www.miteshima.jp/index.html,幼稚園,,,,,,,,,1,111332
34.722869,135.490415,大阪東邦幼稚園,おおさかとうほうようちえん,淀川区木川西2丁目1-19,12,淀川区,06-6301-4581,http://www.osakatoho.ed.jp/boshuu/index.html,幼稚園,,,,,,,,,1,121334
34.721963,135.475684,博愛社学園幼稚園,はくあいしやがくえんようちえん,淀川区十三元今里3丁目1-72,12,淀川区,06-6302-2095,http://hakuaisha.com/index.html,幼稚園,,,,,,,,1,1,121337
