緯度,経度,施設名,ふりがな,住所,,区,電話番号　,施設情報,施設種別,0歳児,1歳児,2歳児,3歳児,4歳児,5歳児,月,日,予備,ソート,月
34.698505,135.513367,南森町ぴーす保育園,みなみもりまちぴーすほいくえん,北区紅梅町2-2,1,北区,06-6949-8338,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,0,0,0,−,−,−,2,28,,20001,
34.698875,135.514832,フジオひまわり保育園 松ヶ枝町,ふじおひまわりほいくえん まつがえちょう,北区松ケ枝町７−７,1,北区,06-7710-2646,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,0,0,0,0,0,0,2,28,,20002,
34.697956,135.507278,企業主導型保育園　和音　西天満園,きぎょうしゅどうがたほいくえん　わおん　にしてんまえん,北区西天満5-9-3,1,北区,06-4709-5687,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,0歳児か5歳児で8名,0歳児か5歳児で8名,0歳児か5歳児で8名,0歳児か5歳児で8名,0歳児か5歳児で8名,0歳児か5歳児で8名,3,6,,20003,
34.703876,135.490219,平成保育園,へいせいほいくえん,北区大淀南１丁目３番１１号,1,北区,06-6345-0567,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,0,3,0,0,0,0,3,6,,20004,
34.696877,135.516296,ななつぼし保育園,ななつぼしほいくえん,北区東天満1-6-8,1,北区,06-6949-8693,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,0歳児か5歳児で12名,0歳児か5歳児で12名,0歳児か5歳児で12名,0歳児か5歳児で12名,0歳児か5歳児で12名,0歳児か5歳児で12名,3,6,,20005,
34.712975,135.531204,ベルキッズ都島保育園,べるきっずみやこじまほいくえん,都島区高倉町1-4-6,2,都島区,06-6923-2235,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,,,,,4歳児から5歳児で20名,4歳児から5歳児で20名,2,28,,20006,
34.693672,135.527817,なないろ京橋保育園,なないろきょうばしほいくえん,都島区片町1-2-16,2,都島区,06-6352-7716,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,1,1,1,,,,2,28,,20007,
34.695427,135.529694,きぼう保育園,きぼうほいくえん,都島区片町2-10-6,2,都島区,06-6351-0022,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,0歳児か2歳児で１名,0,0歳児か2歳児で１名,,,,2,28,,20008,
34.69706,135.488876,ここはぐ つぼみ保育園,ここはぐ つぼみほいくえん,福島区福島５丁目６?３８,3,福島区,06-7174-9489,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,1,1,3,,,,2,28,,20009,
34.680809,135.533051,はばたき保育園,はばたきほいくえん,中央区森ノ宮中央1丁目14番12号,5,中央区,06-6777-1102,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,0,0,0,0,0,0,2,28,,20010,
34.689571,135.513168,社会福祉法人吹田みどり福祉会　保育ルーム　キッズもみの木,しゃかいふくしほうじんすいたみどりふくしかい　ほいくるーむ　きっずもみのき,中央区石町２−５−３,5,中央区,06-6948-8430,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,0歳児から2歳児で6名,0歳児から2歳児で６名,0歳児から2歳児で６名,,,,2,28,,20011,
34.68343,135.518082,ふり〜保育園,ふり〜ほいくえん,中央区谷町3-1-11,5,中央区,06-6945-6686,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,0歳児から3歳児で1名,0歳児から3歳児で1名,0歳児から3歳児で1名,0歳児から3歳児で1名,,,2,28,,20012,
34.672749,135.509537,ヤドリギの森保育園,やどりぎのもりほいくえん,中央区島之内1丁目4-17,5,中央区,06-6121-8555,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,4,2,4,,,,2,28,,20013,
34.673897,135.505264,企業主導型保育園　リトルガーデン,きぎょうしゅどうがたほいくえん　りとるがーでん,中央区東心斎橋1丁目8番5号,5,中央区,06-6241-8623,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,0歳児から１歳児で6名,0歳児から１歳児で6名,,,,,2,28,,20014,
34.679413,135.503372,Animo Kids 本町園,Animo Kids ほんまちえん,中央区南久宝寺町3-1-2,5,中央区,06-6210-4411,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,1,1,1,,,,2,28,,20015,
34.677177,135.503326,テノ．キッズルーム心斎橋,ての．きっずるーむしんさいばし,中央区南船場3-2-4,5,中央区,06-6210-1311,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,0,0,0,0,0,0,2,28,,20016,
34.684528,135.484268,アリス保育園,ありすほいくえん,西区江之子島１-１-９-114　,6,西区,06-6445-3555,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,1,0,1,−,−,−,2,28,,20017,
34.677288,135.49585,企業主導型保育園ＣＯＣＯＲＯＨＯＩＫＵＥＮ　新町園,きぎょうしゅどうがたほいくえんＣＯＣＯＲＯＨＯＩＫＵＥＮ　しんまちえん,西区新町1丁目19番3号,6,西区,06-6538-0333,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,7,0,0,−,−,−,2,28,,20018,
34.683247,135.481186,株式会社Bell kids保育園西区 ,かぶしきかいしゃBell kidsほいくえんにしく ,西区川口2-4-2,6,西区,06-6585-2360,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,3,5,4,8,3,0,2,28,,20019,
34.672253,135.488052,社会福祉法人みやび　ソフィア南堀江保育園　企業内保育園,しゃかいふくしほうじんみやび　そふぃあみなみほりえほいくえん　きぎょうないほいくえん,西区南堀江３−１３−５−１階,6,西区,06-6532-3017,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,1,2,2,−,−,−,2,28,,20020,
34.686275,135.497101,くれよんきっず保育園　うつぼ東園,くれよんきっずほいくえん　うつぼひがしえん,西区靱本町1-7-17,6,西区,06-6131-9282,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,0,0,0,−,−,−,2,28,,20021,
34.683372,135.490692,ロータスナーサリー靭公園,ろーたすなーさりーうつぼこうえん,西区靱本町二丁目5-12,6,西区,06-6441-0872,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,0,1,1,−,−,−,2,28,,20022,
34.667564,135.468262,企業主導型保育園ＣＯＣＯＲＯＨＯＩＫＵＥＮ　弁天町園,きぎょうしゅどうがたほいくえんＣＯＣＯＲＯＨＯＩＫＵＥＮ　べんてんちょうえん,港区市岡元町2丁目11番30号,7,港区,06-6539-8484,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,6,0,0,0,0,0,2,27,,20023,
34.674877,135.526825,ほまれ保育園,ほまれほいくえん,天王寺区空堀町13-21,9,天王寺区,072-974-2772,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,1,0,0,−,−,−,2,28,,20024,
34.666153,135.527008,企業主導型保育園チックアンドヘン鶴橋園,きぎょうしゅどうがたほいくえんちっくあんどへんつるはしえん,天王寺区小橋町2-12,9,天王寺区,06-6796-7129,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,0歳児から2歳児で4名,0歳児から2歳児で4名,0歳児から2歳児で4名,−,−,−,2,28,,20025,
34.662201,135.518494,ニチイキッズ上本町保育園,にちいきっずうえほんまちほいくえん,天王寺区上本町8-2-1,9,天王寺区,06-6776-7526,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,2,0,0,−,−,−,2,28,,20026,
34.663883,135.520767,ＭＯＭ（マム）保育園,MOM（まむ）ほいくえん,天王寺区石ケ辻町18番10号,9,天王寺区,06-6772-1500,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,2,1,0,−,−,−,2,28,,20027,
34.657803,135.51384,蓮美幼児学園　夕陽丘プリメール,れんびようじがくえん　ゆうひがおかぷりめーる,天王寺区夕陽丘町4番2,9,天王寺区,06-6779-1152,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,−,0,0,−,−,−,2,28,,20028,
34.663849,135.496933,あいうえお保育園　なんば園,あいうえおほいくえん　なんばえん,浪速区元町1丁目9-6,10,浪速区,06-6630-6107,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,1,1,1,,,,3,2,,20029,
34.656891,135.501007,保育園ツースキップ,ほいくえんつーすきっぷ,浪速区敷津東2-1-24,10,浪速区,06-6684-9787,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,2,1,0,0,,,3,2,,20030,
34.713322,135.467728,きらら　つかもと保育園,きらら　つかもとほいくえん,西淀川区柏里3-12-24,11,西淀川区,06-6477-0445,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,0,3,3,−,−,−,2,26,,20031,
34.719345,135.484634,やすらぎ保育園,やすらぎほいくえん,淀川区十三東1-17-10,12,淀川区,06-6195-9414,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,0,0,0,,,,2,28,,20032,
34.727982,135.496628,ぬくもりのおうち企業主導型保育新大阪園,ぬくもりのおうちきぎょうしゅどうがたほいくしんおおさかえん,淀川区西中島6丁目7-5-1F,12,淀川区,06-4805-8814,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,0,0,1,0,0,0,3,1,,20033,
34.677883,135.550446,医療法人弘善会　矢木脳神経外科病院　マイアクラブ,いりょうほうじんこうぜんかい　やぎのうしんけいげかびょういん　まいあくらぶ,東成区東今里2-12-26,14,東成区,06-7652-4517,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,0,0,2,3,3,4,3,1,,20034,
34.641621,135.535263,まつとかえでの保育園,まつとかえでのほいくえん,生野区林寺4丁目13-14,15,生野区,06-4303-4356,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,3,3,0,,,,3,2,,20035,
34.631729,135.515579,蓮美幼児学園 阿倍野プリメール　　　,れんびようじがくえん あべのぷりめーる　　　,阿倍野区阪南町2-20-19-102,19,阿倍野区,06-6655-1162,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,,0,0,,,,2,22,,20036,
34.643291,135.524048,たんぽぽ保育園,たんぽぽほいくえん,阿倍野区天王寺町南2丁目5-11,19,阿倍野区,06-6710-1051,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,2,2,1,0,0,0,2,26,,20037,
34.592167,135.502792,なでちゃん保育園,なでちゃんほいくえん,住吉区山之内3-3-12,21,住吉区,06-6698-7500,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,0歳児から2歳児で1名,0歳児から2歳児で1名,0歳児から2歳児で1名,−,−,−,2,28,,20038,
34.599472,135.500183,かけはし保育園,かけはしほいくえん,住吉区山之内一丁目25番15号,21,住吉区,06-7890-7552,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,0歳児から3歳児で3名,0歳児から3歳児で3名,0歳児から3歳児で3名,0歳児から3歳児で3名,−,−,2,28,,20039,
34.605968,135.505859,オハナ保育園,おはなほいくえん,住吉区南住吉3-1-10,21,住吉区,06-6654-8005,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,0,0,0,0,0,0,2,28,,20040,
34.632542,135.529724,保育所ピーチランド東住吉園,ほいくしょぴーちらんどひがしすみよしえん,東住吉区駒川１丁目９番７号,22,東住吉区,06-6713-2255,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,1,1,0,,,,2,23,,20041,
34.606377,135.539185,キッズランド・東住吉,きっずらんど・ひがしすみよし,東住吉区住道矢田６丁目２番２４号,22,東住吉区,06-6769-1514,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,0,2,3,,,,2,23,,20042,
34.622044,135.546585,カンガルーママ保育園,かんがるーままほいくえん,平野区背戸口3丁目4番14号,23,平野区,06-4302-2931,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,1,2,1,,,,3,2,,20043,
34.629871,135.558594,たんぽぽ保育園,たんぽぽほいくえん,平野区平野北2丁目12-12,23,平野区,06-6795-1020,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,5,2,1,,,,3,2,,20044,
34.63245,135.485153,だいいちキッズルーム南津守園,だいいちきっずるーむみなみつもりえん,西成区南津守3丁目1番63号,24,西成区,06-6105-0319,http://www.city.osaka.lg.jp/kodomo/page/0000025982.html,企業主導型保育事業,0,1,2歳児から5歳児で2名,2歳児から5歳児で2名,2歳児から5歳児で2名,2歳児から5歳児で2名,2,28,,20045,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
